,Open,High,Low,Close,Headlines,Average Mean,Differential,Sentiment,Polarity
2016-09-18,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-19,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-20,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-21,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-22,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-23,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-24,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-25,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-26,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-27,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-28,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-29,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-30,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-10-01,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-10-02,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-03,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-04,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-05,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-06,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-07,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-08,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-09,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-10,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
